date,time,volume,open,close,min,max
03/29/2012,18:35:01,140.91,1.32853,1.328155,1.328145,1.32853
03/29/2012,18:36:01,159.84,1.328155,1.32824,1.328085,1.328255
03/29/2012,18:37:01,133.4,1.328225,1.32812,1.3281,1.32825
03/29/2012,18:38:01,144.09,1.32812,1.32822,1.3281,1.328255
03/29/2012,18:39:01,163.58,1.328215,1.32854,1.328205,1.328645
03/29/2012,18:40:01,145.85,1.32854,1.328565,1.32852,1.328645
03/29/2012,18:41:01,78.16,1.32857,1.328515,1.328495,1.32858
03/29/2012,18:42:01,96.39,1.32853,1.328555,1.32852,1.32865
03/29/2012,18:43:01,69.6,1.32855,1.32859,1.32845,1.32859
03/29/2012,18:44:01,64.37,1.328645,1.3286,1.32855,1.328655
03/29/2012,18:45:01,135.64,1.3286,1.32874,1.32852,1.32874
03/29/2012,18:46:01,136.23,1.32875,1.328745,1.328645,1.32875
03/29/2012,18:47:01,140.29,1.32875,1.328835,1.328635,1.32885
03/29/2012,18:48:01,97.81,1.32882,1.32873,1.32869,1.32884
03/29/2012,18:49:01,112.6,1.32872,1.32871,1.32858,1.32873
03/29/2012,18:50:01,153.79,1.32872,1.32855,1.328545,1.328765
03/29/2012,18:51:01,140.14,1.328535,1.328515,1.32846,1.32866
03/29/2012,18:52:01,103.41,1.328515,1.32864,1.32843,1.328665
03/29/2012,18:53:01,75.24,1.32865,1.328745,1.32865,1.32878
03/29/2012,18:54:01,62.49,1.328725,1.32875,1.328635,1.32875
03/29/2012,18:55:01,176.18,1.32874,1.32894,1.32874,1.329095
03/29/2012,18:56:01,104.97,1.328955,1.328935,1.328815,1.32898
03/29/2012,18:57:01,87.6,1.328935,1.32902,1.32892,1.329075
03/29/2012,18:58:01,190.74,1.32903,1.32895,1.32883,1.32904
03/29/2012,18:59:01,211.4,1.32893,1.328625,1.328605,1.328945
03/29/2012,19:00:01,207.73,1.328625,1.328485,1.32841,1.328655
03/29/2012,19:01:01,163.6,1.328485,1.32876,1.328485,1.32879
03/29/2012,19:02:01,132.83,1.32876,1.328815,1.32875,1.32894
03/29/2012,19:03:01,68.71,1.328825,1.32883,1.328825,1.328935
03/29/2012,19:04:01,174.39,1.32883,1.32863,1.32858,1.32883
03/29/2012,19:05:01,202.65,1.32861,1.328825,1.328525,1.32889
03/29/2012,19:06:01,118.45,1.32881,1.32895,1.32881,1.328965
03/29/2012,19:07:01,116.39,1.328965,1.32898,1.328915,1.32907
03/29/2012,19:08:01,54.75,1.328985,1.328875,1.32885,1.328985
03/29/2012,19:09:01,196.81,1.328875,1.32897,1.328875,1.329215
03/29/2012,19:10:01,176.16,1.32896,1.32913,1.328915,1.32914
03/29/2012,19:11:01,226.78,1.32912,1.32905,1.32905,1.32926
03/29/2012,19:12:01,155.91,1.329065,1.32904,1.329005,1.32912
03/29/2012,19:13:01,200.69,1.329035,1.32892,1.32892,1.32921
03/29/2012,19:14:01,223.28,1.32893,1.32902,1.32882,1.329055
03/29/2012,19:15:01,100.64,1.329005,1.32912,1.328995,1.329145
03/29/2012,19:16:01,232.51,1.329115,1.329195,1.32911,1.32942
03/29/2012,19:17:01,111.62,1.32922,1.32912,1.329105,1.32922
03/29/2012,19:18:01,151.78,1.329125,1.329325,1.32911,1.329335
03/29/2012,19:19:01,171.75,1.329325,1.329425,1.329325,1.329445
03/29/2012,19:20:01,215.94,1.32944,1.32941,1.32932,1.3296
03/29/2012,19:21:01,163.67,1.32942,1.32948,1.329395,1.32954
03/29/2012,19:22:01,185.64,1.32948,1.32952,1.329465,1.3296
03/29/2012,19:23:01,169.66,1.32951,1.329245,1.32918,1.32952
03/29/2012,19:24:01,112.48,1.32924,1.329235,1.329145,1.32927
03/29/2012,19:25:01,113.51,1.32923,1.32913,1.329095,1.32923
